"id","name","owner","lng","lat","description"
"100","Integra (Camberwell)",,"151.144974","-32.483837","Name: Integra (Camberwell)<br />State: NSW<br />Longitude: 151.144981<br />Latitude: -32.483839<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.toyotsu.co.jp'>Toyota Tsusho Corp. of Japan</a><br /><a href='http://www.vale.com'>Vale</a><br /><a href='http://www.integracoal.com.au'>Integra Coal</a><br />"
"101","Foxleigh",,"148.803894","-22.997778","Name: Foxleigh<br />State: QLD<br />Longitude: 148.803889<br />Latitude: -22.997778<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.anglocoal.com.au'>Anglo Coal Australia</a><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"102","New Oakleigh",,"152.574783","-27.611694","Name: New Oakleigh<br />State: QLD<br />Longitude: 152.574788<br />Latitude: -27.611694<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.newhopecoal.com.au'>New Hope Coal</a><br />"
"103","Chain Valley",,"151.550003","-33.163055","Name: Chain Valley<br />State: NSW<br />Longitude: 151.550004<br />Latitude: -33.163056<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.ldo.com.au'>LD Operations</a><br />"
"104","Duncan",,"148.110504","-41.555153","Name: Duncan<br />State: TAS<br />Longitude: 148.110498<br />Latitude: -41.555153<br />Commodities: Coal - black<br />Websites:<br /><br />"
"105","Mangoola",,"150.669983","-32.296844","Name: Mangoola<br />State: NSW<br />Longitude: 150.669987<br />Latitude: -32.296844<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br />"
"106","Metropolitan",,"150.996567","-34.184914","Name: Metropolitan<br />State: NSW<br />Longitude: 150.996569<br />Latitude: -34.184912<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.illawarracoal.com'>Illawarra Coal</a><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"107","Ashton",,"151.066666","-32.466671","Name: Ashton<br />State: NSW<br />Longitude: 151.066670<br />Latitude: -32.466670<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.felixresources.com.au'>Felix Resources</a><br /><a href='http://www.ashtoncoal.com.au'>Ashton Coal</a><br /><a href='http://yancoalaustralia.com.au'>Yancoal Australia Pty Ltd</a><br />"
"108","Bengalla",,"150.845993","-32.271500","Name: Bengalla<br />State: NSW<br />Longitude: 150.846000<br />Latitude: -32.271500<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.coalandallied.com.au/'>Coal and Allied</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"109","Hunter Valley Complex",,"150.992004","-32.510399","Name: Hunter Valley Complex<br />State: NSW<br />Longitude: 150.992000<br />Latitude: -32.510400<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.coalandallied.com.au/'>Coal and Allied</a><br />"
"110","Blair Athol",,"147.526993","-22.690500","Name: Blair Athol<br />State: QLD<br />Longitude: 147.527000<br />Latitude: -22.690500<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.riotinto.com'>Rio Tinto</a><br /><a href='http://www.riotintocoalaustralia.com.au'>Rio Tinto Coal Australia</a><br />"
"111","Newlands",,"147.901001","-21.254400","Name: Newlands<br />State: QLD<br />Longitude: 147.901000<br />Latitude: -21.254400<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.xstrata.com'>Xstrata</a><br /><a href='http://www.itochu.co.jp/main/index_e.html'>Itochu Corporation</a><br />"
"112","Wilkie Creek",,"150.960770","-27.042269","Name: Wilkie Creek<br />State: QLD<br />Longitude: 150.960769<br />Latitude: -27.042269<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"113","Loy Yang",,"146.563995","-38.234699","Name: Loy Yang<br />State: VIC<br />Longitude: 146.564000<br />Latitude: -38.234700<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.powerworks.com.au'>PowerWorks</a><br /><a href='http://www.loyyangpower.com.au'>Loy Yang Power</a><br />"
"114","Ewington",,"116.250000","-33.362400","Name: Ewington<br />State: WA<br />Longitude: 116.250000<br />Latitude: -33.362400<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.griffincoal.com.au'>Griffin Coal</a><br /><a href='http://www.lancogroup.com/'>Lanco Infratech Ltd</a><br />"
"115","Maddingley",,"144.440155","-37.704288","Name: Maddingley<br />State: VIC<br />Longitude: 144.440161<br />Latitude: -37.704289<br />Commodities: Coal - brown<br />Websites:<br /><br /><a href='http://www.dpi.vic.gov.au'>Department of Primary Industries</a><br />"
"116","Cullenswood",,"148.152298","-41.617805","Name: Cullenswood<br />State: TAS<br />Longitude: 148.152291<br />Latitude: -41.617804<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.tasminerals.com.au'>Tasmanian Minerals Council</a><br />"
"117","Wilpinjong",,"149.884995","-32.332001","Name: Wilpinjong<br />State: NSW<br />Longitude: 149.885000<br />Latitude: -32.332000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"118","Millenium",,"148.212997","-22.025000","Name: Millenium<br />State: QLD<br />Longitude: 148.213000<br />Latitude: -22.025000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.peabodyenergy.com.au'>Peabody Energy Australia</a><br />"
"119","Narrabri",,"149.850006","-30.520000","Name: Narrabri<br />State: NSW<br />Longitude: 149.850000<br />Latitude: -30.520000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.whitehaven.net.au'>Whitehaven Coal Mining</a><br />"
"120","Sunnyside",,"150.089996","-30.990000","Name: Sunnyside<br />State: NSW<br />Longitude: 150.090000<br />Latitude: -30.990000<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.whitehaven.net.au'>Whitehaven Coal Mining</a><br />"
"121","Carborough Downs",,"148.209396","-21.950199","Name: Carborough Downs<br />State: QLD<br />Longitude: 148.209400<br />Latitude: -21.950200<br />Commodities: Coal - black<br />Websites:<br /><br /><a href='http://www.vale.com'>Vale</a><br />"
"122","Pine Dale",,"150.065002","-33.297001","Name: Pine Dale<br />State: NSW<br />Longitude: 150.065000<br />Latitude: -33.297000<br />Commodities: Coal - black<br />Websites:<br /><br />"
"123","Broadmeadow","BHP","147.988739","-21.828743",
